id,title,description,price,image_url,country,location,category,instruction,input,response,attractions,best_time,halal_info,budget_level,suggested_days,tags
1,"Tashkent, Uzbekistan - Tour Package",Nice — do you want a city-focused or nature-focused itinerary?,2500,https://images.unsplash.com/photo-1567427217543-7c3f0533cf63?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Uzbekistan,Tashkent,Conversation,I have 7 days and want to explore Uzbekistan.,,Nice — do you want a city-focused or nature-focused itinerary?,Gur-e-Amir; Shah-i-Zinda; Ark Fortress,"April–June, September–October",halal available,luxury,5,"nature, family, adventure"
2,"Tashkent, Uzbekistan - Tour Package","Yes, Tashkent has halal restaurants. Popular options include local Central Asian cuisine and some halal-certified eateries in the city center.",2500,https://images.unsplash.com/photo-1567427217543-7c3f0533cf63?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Uzbekistan,Tashkent,Q&A,"Are there halal restaurants in Tashkent, Uzbekistan?",,"Yes, Tashkent has halal restaurants. Popular options include local Central Asian cuisine and some halal-certified eateries in the city center.",Shah-i-Zinda; Registan; Ark Fortress,"April–June, September–October",halal available,luxury,7,"budget, nature, adventure"
3,"Turkmenbashi, Turkmenistan - Tour Package","Great! Do you prefer culture, nature, or adventure?",800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Turkmenistan,Turkmenbashi,Conversation,"Hi, I want to plan a trip to Turkmenistan.",,"Great! Do you prefer culture, nature, or adventure?",Ruins of Merv; Kunya-Urgench; Yangykala Canyon,"April–June, September–October",halal available,budget,10,"halal, history, budget"
4,"Dushanbe, Tajikistan - Tour Package",Day 1: Explore the city highlights in Dushanbe. Day 2: Visit nearby cultural or nature spots. Day 3: Shopping and local cuisine. Adjust based on inter...,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Tajikistan,Dushanbe,Q&A,"Recommend a 3-day itinerary for Dushanbe, Tajikistan.",,Day 1: Explore the city highlights in Dushanbe. Day 2: Visit nearby cultural or nature spots. Day 3: Shopping and local cuisine. Adjust based on interests.,Ancient Penjikent; Fann Mountains; Iskanderkul,May–September,halal available,luxury,1,"budget, history, family"
5,"Jalal-Abad, Kyrgyzstan - Tour Package",I can recommend popular halal restaurants nearby — any cuisine preference?,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kyrgyzstan,Jalal-Abad,Conversation,I am looking for halal food in Jalal-Abad.,,I can recommend popular halal restaurants nearby — any cuisine preference?,Fairy Tale Canyon; Issyk-Kul Lake; Burana Tower,June–September,halal available,luxury,2,"family, history, nature"
6,"Khiva, Uzbekistan - Tour Package","Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",2500,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Uzbekistan,Khiva,Q&A,What outdoor activities are popular in Uzbekistan?,,"Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",Ark Fortress; Gur-e-Amir; Itchan Kala,"April–June, September–October",halal available,luxury,3,"nature, family, halal"
7,"Aktau, Kazakhstan - Tour Package",Nice — do you want a city-focused or nature-focused itinerary?,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kazakhstan,Aktau,Conversation,I have 7 days and want to explore Kazakhstan.,,Nice — do you want a city-focused or nature-focused itinerary?,Big Almaty Lake; Aksu-Zhabagly; Medeu Skating Rink,May–September,limited halal options,luxury,7,"adventure, halal, food"
8,"Samarkand, Uzbekistan - Tour Package",I can recommend popular halal restaurants nearby — any cuisine preference?,2500,https://images.unsplash.com/photo-1584837403392-39b23aa8c9e0?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Uzbekistan,Samarkand,Conversation,I am looking for halal food in Samarkand.,,I can recommend popular halal restaurants nearby — any cuisine preference?,Itchan Kala; Ark Fortress; Registan,"April–June, September–October",halal available,luxury,7,"halal, nature, luxury"
9,"Istaravshan, Tajikistan - Tour Package",Sure — how many family members and ages?,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Tajikistan,Istaravshan,Conversation,Can you help me plan a family trip to Istaravshan?,,Sure — how many family members and ages?,Pamir Mountains; Fann Mountains; Iskanderkul,May–September,halal available,luxury,5,"family, halal, luxury"
10,"Panjakent, Tajikistan - Tour Package","Yes, Panjakent has halal restaurants. Popular options include local Central Asian cuisine and some halal-certified eateries in the city center.",800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Tajikistan,Panjakent,Q&A,"Are there halal restaurants in Panjakent, Tajikistan?",,"Yes, Panjakent has halal restaurants. Popular options include local Central Asian cuisine and some halal-certified eateries in the city center.",Pamir Mountains; Rudaki Park; Iskanderkul,May–September,halal available,budget,2,"food, budget, halal"
